Regularizer	FC1	FC2	genre	variant	epoch	train_loss	train_accuracy	train_fscore	test_loss	test_accuracy	test_fscore
L2=1e-2	256	256	Animation	regularizer L2	3	1.81724249259	0.0484411353563	0.0884112547412	NaN	0.0498822225226	NaN
L2=1e-2	256	256	Animation	regularizer L2	4	1.81786023545	0.0484411354094	0.0887377521572	NaN	0.0498822225226	NaN
L2=1e-2	256	256	Animation	regularizer L2	5	1.8171467602	0.0484411353674	0.088905983325	NaN	0.0498822225226	NaN
L2=1e-2	256	256	Animation	regularizer L2	6	1.81714496652	0.0484411354028	0.0891268558582	NaN	0.0498822225226	NaN
L2=1e-2	256	256	Animation	regularizer L2	7	1.81555026876	0.0484411354106	0.0891823832863	NaN	0.0498822225226	NaN
L2=1e-2	256	256	Animation	regularizer L2	8	1.813983481	0.0484411353983	0.0892349625539	NaN	0.0498822225226	NaN
L2=1e-2	256	256	Animation	regularizer L2	9	1.81515626026	0.0484411353695	0.0895207316155	NaN	0.0498822225226	NaN
L2=1e-2	256	256	Animation	regularizer L2	10	1.81480405204	0.0484411353785	0.0896529218946	NaN	0.0498822225226	NaN
L2=1e-4	256	256	Animation	regularizer L2	1	1.87279165943	0.217263843639	0.0883142320693	NaN	0.0618447185163	NaN
L2=1e-4	256	256	Animation	regularizer L2	2	1.80977609586	0.0981852019704	0.0952979019675	NaN	0.302803565789	NaN
L2=1e-4	256	256	Animation	regularizer L2	3	1.78990520446	0.622475569561	0.109539246741	NaN	0.798993117726	NaN
L2=1e-4	256	256	Animation	regularizer L2	4	1.74328870838	0.85518845936	0.157123996705	NaN	0.921666435318	NaN
L2=1e-4	256	256	Animation	regularizer L2	5	1.63662844103	0.905956258348	0.230027388403	NaN	0.921804996755	NaN
L2=1e-4	256	256	Animation	regularizer L2	6	1.51997397861	0.921079571528	0.282455929877	NaN	0.903514848899	NaN
L2=1e-4	256	256	Animation	regularizer L2	7	1.43687965457	0.934248486814	0.323698455522	NaN	0.941988822029	NaN
L2=1e-4	256	256	Animation	regularizer L2	8	1.38146558617	0.93997207966	0.345796676784	NaN	0.921204562642	NaN
L2=1e-4	256	256	Animation	regularizer L2	9	1.32801470198	0.943322474954	0.371769915733	NaN	0.931550505384	NaN
L2=1e-4	256	256	Animation	regularizer L2	10	1.24313279952	0.949930199932	0.407957578402	NaN	0.938524779203	NaN
L2=1e-4	256	256	Animation	regularizer L2	1	1.85911866121	0.149976733369	0.0903792123578	NaN	0.0568564962399	NaN
L2=1e-4	256	256	Animation	regularizer L2	2	1.80076441937	0.256165657741	0.101250136774	NaN	0.560851692772	NaN
